host_location,host_response_time,host_is_superhost,host_neighbourhood,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,accommodates,bedrooms,amenities,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,amenities_count
"Bangkok, Thailand",N/A,t,Victory Monument,2.0,t,Ratchathewi,Entire condo,2,1.0,"[""Luggage dropoff allowed"", ""Stove"", ""Refrigerator"", ""Elevator"", ""Host greets you"", ""Washer"", ""Patio or balcony"", ""Fire extinguisher"", ""Smoke alarm"", ""Iron"", ""Air conditioning"", ""Hot water"", ""Wifi"", ""Hair dryer"", ""Shampoo"", ""Microwave"", ""Dishes and silverware"", ""Dryer"", ""Gym"", ""Long term stays allowed"", ""Free parking on premises"", ""Hangers"", ""Pool"", ""Essentials"", ""Kitchen""]",1665.0,65,4.86,4.95,4.82,4.97,4.91,4.66,4.75,0.41,25
"New Delhi, India",N/A,f,other,2.0,t,Don Mueang,Entire home,1,4.0,"[""Dryer"", ""Gym"", ""Washer"", ""Smoking allowed"", ""TV with standard cable"", ""Pets allowed"", ""Air conditioning"", ""Free parking on premises"", ""Kitchen""]",4373.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9
"Bangkok, Thailand",within an hour,f,other,1.0,t,Rat Burana,Private room in rental unit,2,1.0,"[""Housekeeping available from 10:00\u202fAM to 4:00\u202fPM - available at extra cost"", ""Dining table"", ""Electric stove"", ""Refrigerator"", ""Shower gel"", ""Elevator"", ""Laundromat nearby"", ""Shared backyard"", ""Fire extinguisher"", ""Smoke alarm"", ""Drying rack for clothing"", ""Air conditioning"", ""Hot water"", ""Toaster"", ""Hair dryer"", ""Shampoo"", ""Microwave"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Gym"", ""Long term stays allowed"", ""Free parking on premises"", ""Freezer"", ""Hangers"", ""Hot water kettle"", ""Cooking basics"", ""Thai famouse brand conditioner"", ""Essentials"", ""Clothing storage: closet and dresser"", ""Kitchen""]",1930.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.01,30
"Bangkok, Thailand",within a few hours,t,Silom,9.0,t,Bang Rak,Private room in serviced apartment,2,1.0,"[""Luggage dropoff allowed"", ""Refrigerator"", ""Elevator"", ""Washer"", ""Fire extinguisher"", ""Iron"", ""Air conditioning"", ""Bed linens"", ""Wifi"", ""Hair dryer"", ""Shampoo"", ""Microwave"", ""Dryer"", ""Long term stays allowed"", ""Free parking on premises"", ""Hangers"", ""Building staff"", ""TV with standard cable"", ""Essentials"", ""Self check-in"", ""Kitchen""]",1354.0,38,4.81,4.73,4.84,4.84,4.89,4.78,4.81,0.22,21
"Bangkok, Thailand",within a few hours,t,Silom,9.0,t,Sathon,Room in hostel,2,1.0,"[""Hangers"", ""Hot water"", ""Dryer"", ""Wifi"", ""Heating"", ""Host greets you"", ""Free street parking"", ""Breakfast"", ""Washer"", ""Hair dryer"", ""TV with standard cable"", ""Shampoo"", ""Essentials"", ""Fire extinguisher"", ""Iron"", ""Air conditioning"", ""Free parking on premises""]",1305.0,210,4.8,4.77,4.85,4.87,4.85,4.74,4.69,1.22,17
"Bangkok, Thailand",a few days or more,f,Klong Toey,9.0,t,Khlong Toei,Entire rental unit,5,3.0,"[""Stove"", ""Refrigerator"", ""Elevator"", ""Host greets you"", ""Washer"", ""Patio or balcony"", ""Smoke alarm"", ""Iron"", ""Air conditioning"", ""Bed linens"", ""Hot water"", ""Wifi"", ""Hair dryer"", ""Shampoo"", ""Microwave"", ""Oven"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Dryer"", ""Gym"", ""Paid parking on premises"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Hangers"", ""Ethernet connection"", ""Pool"", ""Cooking basics"", ""TV with standard cable"", ""Essentials"", ""Coffee maker"", ""Kitchen""]",5848.0,147,4.77,4.84,4.85,4.86,4.89,4.86,4.76,0.9,31
"Bangkok, Thailand",N/A,f,other,4.0,t,Rat Burana,Private room in rental unit,1,1.0,[],1198.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
"Bangkok, Thailand",within an hour,f,Bang Kapi,3.0,t,Bang Kapi,Private room in serviced apartment,3,1.0,"[""Refrigerator"", ""Dryer"", ""Wifi"", ""Elevator"", ""Dedicated workspace"", ""Washer"", ""Breakfast"", ""TV with standard cable"", ""Air conditioning"", ""Free parking on premises"", ""Kitchen""]",1226.0,6,4.67,4.5,4.67,4.83,4.83,4.33,4.33,0.23,11
"Bangkok, Thailand",within an hour,f,other,2.0,t,Lat Krabang,Private room in rental unit,2,1.0,"[""Hotel grade body soap"", ""Dining table"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Shower gel"", ""Crib - available upon request"", ""32 inch TV with standard cable"", ""Laundromat nearby"", ""Smoke alarm"", ""Fire extinguisher"", ""Iron"", ""Cleaning products"", ""Private patio or balcony"", ""Room-darkening shades"", ""Bed linens"", ""Cleaning available during stay"", ""Hotel grade shampoo"", ""Central air conditioning"", ""Hot water"", ""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Microwave"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Coffee"", ""Standalone high chair - available upon request"", ""Essentials"", ""Long term stays allowed"", ""Hangers"", ""Mini fridge"", ""Hot water kettle"", ""Coffee maker: espresso machine"", ""Building staff"", ""Books and reading material"", ""Wine glasses"", ""AC - split type ductless system"", ""Self check-in"", ""Free driveway parking on premises \u2013 10 spaces"", ""First aid kit"", ""Kitchen""]",1080.0,73,4.62,4.59,4.7,4.84,4.7,4.55,4.62,0.58,41
"Bangkok, Thailand",N/A,f,other,2.0,t,Parthum Wan,Entire rental unit,2,1.0,"[""Bathtub"", ""60 inch HDTV with standard cable"", ""Window AC unit"", ""Refrigerator"", ""Shower gel"", ""Exercise equipment: free weights, stationary bike, treadmill"", ""Elevator"", ""Children\u2019s books and toys"", ""Smoke alarm"", ""Fire extinguisher"", ""Drying rack for clothing"", ""Iron"", ""Cleaning products"", ""Shared pool"", ""Bed linens"", ""Cleaning available during stay"", ""Private gym in building"", ""Hot water"", ""Portable fans"", ""City skyline view"", ""Paid washer \u2013 In building"", ""Toaster"", ""Dedicated workspace"", ""Hair dryer"", ""Microwave"", ""Private hot tub"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Free parking on premises"", ""Hangers"", ""Mini fridge"", ""Fast wifi \u2013 87 Mbps"", ""Coffee maker: espresso machine"", ""Cooking basics"", ""Essentials"", ""Rice maker"", ""Kitchen""]",2430.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.03,41
"Bangkok, Thailand",within an hour,f,Bang Kapi,3.0,t,Bang Kapi,Private room in serviced apartment,3,1.0,"[""Dryer"", ""Wifi"", ""Elevator"", ""Breakfast"", ""Washer"", ""TV with standard cable"", ""Air conditioning"", ""Free parking on premises"", ""Kitchen""]",1721.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9
"Bangkok, Thailand",within an hour,f,Bang Kapi,3.0,t,Bang Kapi,Private room in serviced apartment,3,1.0,"[""Dryer"", ""Wifi"", ""Elevator"", ""Breakfast"", ""Washer"", ""TV with standard cable"", ""Air conditioning"", ""Free parking on premises"", ""Kitchen""]",1752.0,1,4.0,4.0,2.0,5.0,5.0,5.0,4.0,0.07,9
"Bangkok, Thailand",within an hour,t,Bangkok Yai,8.0,f,Bangkok Yai,Private room in home,4,1.0,"[""Hangers"", ""Wifi"", ""Breakfast"", ""Hair dryer"", ""TV with standard cable"", ""Shampoo"", ""Essentials"", ""Air conditioning""]",2049.0,90,4.8,4.85,4.83,4.87,4.81,4.57,4.66,0.62,8
"Bangkok, Thailand",a few days or more,f,Aree,4.0,t,Phaya Thai,Entire rental unit,2,1.0,"[""Refrigerator"", ""Elevator"", ""Host greets you"", ""Washer"", ""Patio or balcony"", ""Smoke alarm"", ""Iron"", ""Air conditioning"", ""Hot water"", ""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Dishes and silverware"", ""Dryer"", ""Gym"", ""Long term stays allowed"", ""Free parking on premises"", ""Hangers"", ""Pool"", ""TV with standard cable"", ""Essentials"", ""Coffee maker"", ""Kitchen""]",1495.0,91,4.71,4.85,4.59,4.76,4.81,4.74,4.64,0.63,24
unknown,N/A,f,other,9.0,t,Bang Rak,Entire rental unit,2,1.0,"[""Dining table"", ""Electric stove"", ""Refrigerator"", ""Shower gel"", ""Exercise equipment: free weights, stationary bike, treadmill"", ""Elevator"", ""Host greets you"", ""Paid dryer \u2013 In building"", ""Laundromat nearby"", ""HDTV with Netflix"", ""Smoke alarm"", ""Drying rack for clothing"", ""Iron"", ""Cleaning products"", ""Room-darkening shades"", ""Bed linens"", ""Private entrance"", ""Private patio or balcony"", ""Central air conditioning"", ""Hot water"", ""Portable fans"", ""Conditioner"", ""Paid washer \u2013 In building"", ""Wifi"", ""Toaster"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Microwave"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Single level home"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Carbon monoxide alarm"", ""Freezer"", ""Hangers"", ""Shared outdoor pool - available all year, open specific hours, rooftop"", ""Shared gym in building"", ""Ethernet connection"", ""Hot water kettle"", ""Cooking basics"", ""Wine glasses"", ""Essentials"", ""Rice maker"", ""Coffee maker"", ""Kitchen""]",1090.0,76,4.23,4.53,4.32,4.23,4.2,4.36,4.23,0.47,51
Singapore,N/A,f,other,3.0,t,Vadhana,Entire rental unit,2,2.0,"[""TV"", ""Dryer"", ""Wifi"", ""Hot tub"", ""Elevator"", ""Gym"", ""Washer"", ""Pool"", ""Shampoo"", ""Essentials"", ""Smoke alarm"", ""First aid kit"", ""Air conditioning"", ""Free parking on premises"", ""Kitchen""]",1564.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15
unknown,within a few hours,t,Bang Sue,9.0,t,Bang Sue,Entire guesthouse,2,1.0,"[""Luggage dropoff allowed"", ""Stove"", ""Refrigerator"", ""Babysitter recommendations"", ""Host greets you"", ""Washer"", ""Children\u2019s books and toys"", ""Fire extinguisher"", ""Iron"", ""Air conditioning"", ""Hot water"", ""Wifi"", ""Children\u2019s dinnerware"", ""Hair dryer"", ""Shampoo"", ""Microwave"", ""Backyard"", ""Dishes and silverware"", ""Hot tub"", ""Gym"", ""Long term stays allowed"", ""High chair"", ""Hangers"", ""Crib"", ""Smoking allowed"", ""Pool"", ""TV with standard cable"", ""Essentials"", ""Coffee maker"", ""Kitchen""]",1050.0,28,4.96,5.0,4.93,4.86,4.93,4.57,4.86,0.19,30
